Sender,Receiver,Direction,Document ID,Document Descriptions,Document Status,Document Type,Task,Booking ID,Status,Start Time,Carrier,Senders,Documents,Loads
Cosmetico Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,254_PO6743051,ASN,,ASN,Task 1,MDB-24-DZM5-459Y,Completed,1/03/2024 7:00,CTI Logistics,Cosmetico Pty Ltd,254_PO6743051,ASN: 1
Cosmetico Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6743051,PO,,PO,Task 2,MDB-24-DZM5-459Y,Completed,1/03/2024 7:00,CTI Logistics,Cosmetico Pty Ltd,PO6743051,Inbound Pallets (Lifts): 7
The Better Health Company Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6531053,PO,,,Task 1,MDB-24-J080-X5Q4,Completed,1/03/2024 7:30,DHL SUPPLY CHAIN,The Better Health Company Australia Pty Ltd,PO6531053,Inbound Pallets (Lifts): 1
The Better Health Company Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6593924,PO,,,Task 2,MDB-24-J080-X5Q4,Completed,1/03/2024 7:30,DHL SUPPLY CHAIN,The Better Health Company Australia Pty Ltd,PO6593924,Inbound Cartons (Lifts): 1
Nutricia Australia Pty Limited,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6719495,PO,,PO,Task 3,MDB-24-J080-X5Q4,Completed,1/03/2024 7:30,DHL SUPPLY CHAIN,Nutricia Australia Pty Limited,PO6719495,Inbound Pallets (Lifts): 7
Marketing Brokers Australia Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6820635,PO,,PO,Task 4,MDB-24-J080-X5Q4,Completed,1/03/2024 7:30,DHL SUPPLY CHAIN,Marketing Brokers Australia Pty Ltd,PO6820635,Inbound Pallets (Lifts): 1
Church & Dwight Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6712341,PO,,PO,Task 1,MDB-24-V989-B4GR,Completed,1/03/2024 8:00,Skippers Transport,Church & Dwight Pty Ltd,PO6712341,Inbound Pallets (Lifts): 1
Church & Dwight Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6820383,PO,,PO,Task 2,MDB-24-V989-B4GR,Completed,1/03/2024 8:00,Skippers Transport,Church & Dwight Pty Ltd,PO6820383,Inbound Pallets (Lifts): 1
Arrow Pharmaceuticals Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6570890,PO,,,Task 3,MDB-24-V989-B4GR,Completed,1/03/2024 8:00,Skippers Transport,Arrow Pharmaceuticals Pty Ltd,PO6570890,Inbound Pallets (Lifts): 3
Melrose Laboratories Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6783308,PO,,PO,Task 4,MDB-24-V989-B4GR,Completed,1/03/2024 8:00,Skippers Transport,Melrose Laboratories Pty Ltd,PO6783308,Inbound Pallets (Lifts): 3
Melrose Laboratories Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,395_PO6783308,ASN,,ASN,Task 5,MDB-24-V989-B4GR,Completed,1/03/2024 8:00,Skippers Transport,Melrose Laboratories Pty Ltd,395_PO6783308,ASN: 1
B.Box for Kids,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6823930,PO,,PO,Task 1,MDB-24-7XZD-ZY1D,Completed,1/03/2024 8:30,Border Express Perth ,B.Box for Kids,PO6823930,Inbound Pallets (Lifts): 2
B.Box for Kids,Chemist Warehouse - WA1 - South Guildford,Inbound,596_PO6823930,ASN,,ASN,Task 2,MDB-24-7XZD-ZY1D,Completed,1/03/2024 8:30,Border Express Perth ,B.Box for Kids,596_PO6823930,ASN: 1
AFT Pharmaceuticals Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6811790,PO,,PO,Task 3,MDB-24-7XZD-ZY1D,Completed,1/03/2024 8:30,Border Express Perth ,AFT Pharmaceuticals Pty Ltd,PO6811790,Inbound Pallets (Lifts): 1
Grin Natural Products,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6783754,PO,,PO,Task 4,MDB-24-7XZD-ZY1D,Completed,1/03/2024 8:30,Border Express Perth ,Grin Natural Products,PO6783754,Inbound Pallets (Lifts): 1
AFT Pharmaceuticals Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,149531_PO6811790,ASN,,ASN,Task 5,MDB-24-7XZD-ZY1D,Completed,1/03/2024 8:30,Border Express Perth ,AFT Pharmaceuticals Pty Ltd,149531_PO6811790,ASN: 1
Grin Natural Products,Chemist Warehouse - WA1 - South Guildford,Inbound,204_PO6783754,ASN,,ASN,Task 6,MDB-24-7XZD-ZY1D,Completed,1/03/2024 8:30,Border Express Perth ,Grin Natural Products,204_PO6783754,ASN: 1
Church & Dwight Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6712341,PO,,PO,Task 1,MDB-24-RG9X-1D3Z,Cancelled,,Skippers Transport,Church & Dwight Pty Ltd,PO6712341,Inbound Pallets (Lifts): 1
Church & Dwight Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6820383,PO,,PO,Task 2,MDB-24-RG9X-1D3Z,Cancelled,,Skippers Transport,Church & Dwight Pty Ltd,PO6820383,Inbound Pallets (Lifts): 1
Church & Dwight Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,34333_PO6712341,ASN,,ASN,Task 3,MDB-24-RG9X-1D3Z,Cancelled,,Skippers Transport,Church & Dwight Pty Ltd,34333_PO6712341,ASN: 1
Church & Dwight Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,34334_PO6820383,ASN,,ASN,Task 4,MDB-24-RG9X-1D3Z,Cancelled,,Skippers Transport,Church & Dwight Pty Ltd,34334_PO6820383,ASN: 1
Bayer Australia Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6841356,PO,,PO,Task 1,MDB-24-7V6L-76Z3,Completed,1/03/2024 8:30,DHL SUPPLY CHAIN,Bayer Australia Ltd,PO6841356,Inbound Pallets (Lifts): 7
Bayer Australia Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,0133325244_PO6841356,ASN,,ASN,Task 2,MDB-24-7V6L-76Z3,Completed,1/03/2024 8:30,DHL SUPPLY CHAIN,Bayer Australia Ltd,0133325244_PO6841356,ASN: 1
Freudenberg Household Products Pty Ltd,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6811704,PO,,PO,Task 1,MDB-24-6M01-31B2,Completed,1/03/2024 9:15,SADLEIRS TRANSPORT,Freudenberg Household Products Pty Ltd,PO6811704,Inbound Pallets (Lifts): 2
MCO BEAUTY PTY LTD,Chemist Warehouse - WA1 - South Guildford,Inbound,PO6787625,PO,,PO,Task 1,MDB-24-ZR7R-8PD0,Completed,1/03/2024 9:30,Startrack Express Perth,MCO BEAUTY PTY LTD,PO6787625,Inbound Pallets (Lifts): 1
MCO BEAUTY PTY LTD,Chemist Warehouse - WA1 - South Guildford,Inbound,521_PO6787625,ASN,,ASN,Task 2,MDB-24-ZR7R-8PD0,Completed,1/03/2024 9:30,Startrack Express Perth,MCO BEAUTY PTY LTD,521_PO6787625,ASN: 1
